iter	Passed	Remaining
518	551	511
519	552	510
520	553	509
521	554	507
522	555	506
523	556	505
524	557	504
525	558	503
526	560	502
527	561	501
528	562	500
529	563	499
530	564	498
531	565	497
532	566	496
533	567	495
534	569	494
535	570	493
536	571	492
537	572	491
538	574	490
539	575	490
540	576	489
541	577	488
542	578	487
543	580	486
544	581	485
545	582	484
546	583	483
547	585	482
548	586	481
549	587	480
550	588	479
551	590	478
552	591	477
553	592	477
554	593	475
555	594	474
556	595	473
557	597	472
558	598	471
559	599	471
560	600	470
561	602	469
562	603	468
563	604	467
564	605	466
565	606	465
566	607	464
567	608	463
568	609	461
569	610	460
570	612	459
571	613	458
572	614	457
573	615	456
574	616	455
575	617	454
576	618	453
577	619	452
578	620	451
579	621	450
580	622	449
581	623	448
582	624	447
583	625	445
584	627	444
585	628	443
586	629	442
587	630	441
588	631	440
589	632	439
590	633	438
591	634	437
592	635	436
593	636	435
594	637	434
595	638	433
596	639	431
597	640	430
598	641	429
599	643	428
600	644	427
601	645	426
602	646	425
603	647	424
604	648	423
605	649	422
606	650	421
607	651	420
608	652	419
609	653	418
610	654	416
611	655	415
612	656	414
613	657	413
614	659	412
615	660	411
616	661	410
617	662	409
618	663	408
619	664	407
620	665	406
621	666	405
622	667	403
623	668	402
624	669	401
625	670	400
626	671	399
627	672	398
628	673	397
629	674	396
630	676	395
631	677	394
632	678	393
633	680	392
634	682	392
635	684	391
636	685	390
637	687	390
638	689	389
639	691	389
640	693	388
641	695	387
642	697	387
643	699	386
644	700	385
645	702	385
646	704	384
647	705	383
648	707	382
649	708	381
650	710	380
651	711	379
652	712	378
653	714	377
654	715	377
655	717	376
656	718	375
657	720	374
658	721	373
659	722	372
660	724	371
661	725	370
662	726	369
663	727	368
664	728	366
665	729	365
666	730	364
667	731	363
668	732	362
669	734	361
670	735	360
671	736	359
672	738	358
673	739	357
674	740	356
675	741	355
676	743	354
677	744	353
678	745	352
679	746	351
680	747	350
681	748	349
682	749	348
683	750	346
684	752	345
685	753	344
686	754	343
687	755	342
688	756	341
689	757	340
690	758	339
691	759	338
692	760	337
693	761	335
694	762	334
695	764	333
696	765	332
697	766	331
698	767	330
699	768	329
700	770	328
701	771	327
702	772	326
703	773	325
704	774	324
705	775	322
706	776	321
707	777	320
708	778	319
709	779	318
710	780	317
711	782	316
712	783	315
713	784	314
714	785	313
715	787	312
716	788	311
717	789	310
718	790	308
719	791	307
720	792	306
721	793	305
722	794	304
723	795	303
724	796	302
725	797	301
726	799	300
727	800	298
728	801	297
729	802	296
730	803	295
731	804	294
732	806	293
733	807	292
734	808	291
735	809	290
736	810	289
737	811	288
738	812	286
739	813	285
740	814	284
741	816	283
742	817	282
743	818	281
744	819	280
745	820	279
746	821	278
747	822	277
748	823	276
749	824	274
750	825	273
751	826	272
752	828	271
753	829	270
754	830	269
755	831	268
756	832	267
757	833	266
758	835	265
759	836	264
760	837	262
761	838	261
762	839	260
763	840	259
764	841	258
765	842	257
766	843	256
767	844	255
768	846	254
769	847	253
770	848	252
771	849	250
772	850	249
773	851	248
774	852	247
775	854	246
776	855	245
777	856	244
778	857	243
779	858	242
780	860	241
781	861	240
782	862	239
783	863	237
784	864	236
785	865	235
786	866	234
787	867	233
788	868	232
789	869	231
790	870	230
791	871	228
792	872	227
793	873	226
794	874	225
795	875	224
796	876	223
797	878	222
798	879	221
799	880	220
800	882	219
801	883	218
802	884	216
803	885	215
804	886	214
805	887	213
806	888	212
807	889	211
808	890	210
809	891	209
810	893	208
811	894	207
812	895	206
813	897	204
814	898	203
815	899	202
816	900	201
817	901	200
818	902	199
819	903	198
820	904	197
821	905	196
822	906	195
823	908	193
824	909	192
825	910	191
826	912	190
827	913	189
828	914	188
829	915	187
830	916	186
831	917	185
832	918	184
833	919	183
834	920	181
835	921	180
836	922	179
837	923	178
838	925	177
839	926	176
840	927	175
841	928	174
842	930	173
843	931	172
844	932	171
845	933	169
846	934	168
847	936	167
848	937	166
849	938	165
850	939	164
851	940	163
852	941	162
853	943	161
854	944	160
855	945	159
856	946	157
857	948	156
858	949	155
859	950	154
860	951	153
861	952	152
862	953	151
863	955	150
864	956	149
865	957	148
866	958	147
867	960	146
868	961	144
869	962	143
870	963	142
871	964	141
872	965	140
873	966	139
874	968	138
875	969	137
876	970	136
877	971	135
878	972	133
879	973	132
880	974	131
881	975	130
882	976	129
883	977	128
884	978	127
885	979	126
886	980	124
887	981	123
888	982	122
889	983	121
890	984	120
891	986	119
892	987	118
893	988	117
894	989	116
895	990	115
896	991	113
897	992	112
898	993	111
899	994	110
900	995	109
901	997	108
902	998	107
903	999	106
904	1000	104
905	1001	103
906	1002	102
907	1003	101
908	1004	100
909	1005	99
910	1006	98
911	1007	97
912	1008	96
913	1009	95
914	1010	93
915	1011	92
916	1012	91
917	1013	90
918	1014	89
919	1015	88
920	1016	87
921	1018	86
922	1019	85
923	1020	83
924	1021	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1026	77
930	1027	76
931	1028	75
932	1029	73
933	1030	72
934	1031	71
935	1032	70
936	1033	69
937	1034	68
938	1035	67
939	1036	66
940	1038	65
941	1039	63
942	1040	62
943	1041	61
944	1042	60
945	1043	59
946	1044	58
947	1045	57
948	1046	56
949	1047	55
950	1048	54
951	1049	52
952	1050	51
953	1051	50
954	1053	49
955	1054	48
956	1055	47
957	1056	46
958	1057	45
959	1058	44
960	1059	42
961	1060	41
962	1061	40
963	1062	39
964	1063	38
965	1064	37
966	1065	36
967	1066	35
968	1067	34
969	1068	33
970	1069	31
971	1070	30
972	1071	29
973	1072	28
974	1073	27
975	1074	26
976	1075	25
977	1076	24
978	1078	23
979	1079	22
980	1079	20
981	1081	19
982	1082	18
983	1083	17
984	1084	16
985	1085	15
986	1086	14
987	1087	13
988	1088	12
989	1089	11
990	1090	9
991	1091	8
992	1092	7
993	1093	6
994	1094	5
995	1095	4
996	1097	3
997	1098	2
998	1099	1
999	1100	0
