iter	Poisson
300	-5090.315921
301	-5090.319226
302	-5090.328323
303	-5090.335504
304	-5090.341674
305	-5090.358231
306	-5090.365704
307	-5090.372193
308	-5090.382108
309	-5090.38742
310	-5090.394555
311	-5090.401446
312	-5090.407037
313	-5090.412919
314	-5090.416376
315	-5090.425295
316	-5090.431289
317	-5090.435355
318	-5090.441864
319	-5090.447852
320	-5090.452631
321	-5090.458529
322	-5090.461627
323	-5090.466194
324	-5090.470072
325	-5090.478424
326	-5090.485322
327	-5090.49163
328	-5090.496074
329	-5090.500988
330	-5090.503353
331	-5090.507239
332	-5090.513
333	-5090.517534
334	-5090.52375
335	-5090.526743
336	-5090.530774
337	-5090.539983
338	-5090.542289
339	-5090.545536
340	-5090.551307
341	-5090.562352
342	-5090.567249
343	-5090.571533
344	-5090.574251
345	-5090.580217
346	-5090.583885
347	-5090.594652
348	-5090.598326
349	-5090.604166
350	-5090.607472
351	-5090.612931
352	-5090.615648
353	-5090.618951
354	-5090.621252
355	-5090.623882
356	-5090.630684
357	-5090.636022
358	-5090.641202
359	-5090.645795
360	-5090.655739
361	-5090.66117
362	-5090.666508
363	-5090.668469
364	-5090.676751
365	-5090.678657
366	-5090.681803
367	-5090.684855
368	-5090.687869
369	-5090.693036
370	-5090.699783
371	-5090.704263
372	-5090.711233
373	-5090.714484
374	-5090.719573
375	-5090.726528
376	-5090.729777
377	-5090.73161
378	-5090.735252
379	-5090.741684
380	-5090.745118
381	-5090.746691
382	-5090.748853
383	-5090.755484
384	-5090.759525
385	-5090.767269
386	-5090.77629
387	-5090.777884
388	-5090.782721
389	-5090.788655
390	-5090.795364
391	-5090.798923
392	-5090.800715
393	-5090.809119
394	-5090.816833
395	-5090.818374
396	-5090.821199
397	-5090.824316
398	-5090.830745
399	-5090.838106
400	-5090.844932
401	-5090.848463
402	-5090.850604
403	-5090.852429
404	-5090.853779
405	-5090.855041
406	-5090.857932
407	-5090.8635
408	-5090.867672
409	-5090.870591
410	-5090.873802
411	-5090.877791
412	-5090.882202
413	-5090.885576
414	-5090.890881
415	-5090.898361
416	-5090.899833
417	-5090.906267
418	-5090.913428
419	-5090.915347
420	-5090.918951
421	-5090.921958
422	-5090.92588
423	-5090.93056
424	-5090.93961
425	-5090.943215
426	-5090.946526
427	-5090.952276
428	-5090.955691
429	-5090.960836
430	-5090.966216
431	-5090.972989
432	-5090.97584
433	-5090.979032
434	-5090.984285
435	-5090.98677
436	-5090.989439
437	-5090.992033
438	-5090.996959
439	-5091.000542
440	-5091.001829
441	-5091.00517
442	-5091.007674
443	-5091.014922
444	-5091.01734
445	-5091.019406
446	-5091.023705
447	-5091.024486
448	-5091.026857
449	-5091.029345
450	-5091.030626
451	-5091.032825
452	-5091.036629
453	-5091.03883
454	-5091.040392
455	-5091.042544
456	-5091.04684
457	-5091.051925
458	-5091.053524
459	-5091.057447
460	-5091.059705
461	-5091.065871
462	-5091.067254
463	-5091.072038
464	-5091.076042
465	-5091.077896
466	-5091.081881
467	-5091.083245
468	-5091.085958
469	-5091.091822
470	-5091.0939
471	-5091.096381
472	-5091.099918
473	-5091.101585
474	-5091.104676
475	-5091.108529
476	-5091.110126
477	-5091.112283
478	-5091.116011
479	-5091.118931
480	-5091.124488
481	-5091.125852
482	-5091.127679
483	-5091.131382
484	-5091.13465
485	-5091.135326
486	-5091.141255
487	-5091.142977
488	-5091.146645
489	-5091.149948
490	-5091.151369
491	-5091.15547
492	-5091.156115
493	-5091.160266
494	-5091.165242
495	-5091.166852
496	-5091.170509
497	-5091.173666
498	-5091.1781
499	-5091.181597
500	-5091.183632
501	-5091.188379
502	-5091.19192
503	-5091.192891
504	-5091.195579
505	-5091.1994
506	-5091.201408
507	-5091.204364
508	-5091.206738
509	-5091.209714
510	-5091.212728
511	-5091.218605
512	-5091.22147
513	-5091.224051
514	-5091.22758
515	-5091.229021
516	-5091.230685
517	-5091.235429
518	-5091.239331
519	-5091.242028
520	-5091.246522
521	-5091.247764
522	-5091.251682
523	-5091.254844
524	-5091.258724
525	-5091.261463
526	-5091.263859
527	-5091.266759
528	-5091.268083
529	-5091.271995
530	-5091.275758
531	-5091.279462
532	-5091.282325
533	-5091.283428
534	-5091.286296
535	-5091.287718
536	-5091.292967
537	-5091.296368
538	-5091.298519
539	-5091.301186
540	-5091.303851
541	-5091.305338
542	-5091.307245
543	-5091.30817
544	-5091.30938
545	-5091.311704
546	-5091.314021
547	-5091.319436
548	-5091.322861
549	-5091.328089
550	-5091.330741
551	-5091.333705
552	-5091.335241
553	-5091.336323
554	-5091.340702
555	-5091.342051
556	-5091.346547
557	-5091.347735
558	-5091.350022
559	-5091.352417
560	-5091.354695
561	-5091.3567
562	-5091.357804
563	-5091.362253
564	-5091.362975
565	-5091.364002
566	-5091.366911
567	-5091.368543
568	-5091.369391
569	-5091.370601
570	-5091.3724
571	-5091.374596
572	-5091.378059
573	-5091.380048
574	-5091.381228
575	-5091.38303
576	-5091.386779
577	-5091.391112
578	-5091.393002
579	-5091.394833
580	-5091.397082
581	-5091.402013
582	-5091.403949
583	-5091.407062
584	-5091.407988
585	-5091.410601
586	-5091.414561
587	-5091.416358
588	-5091.418139
589	-5091.420712
590	-5091.422978
591	-5091.426061
592	-5091.428257
593	-5091.429925
594	-5091.432407
595	-5091.4337
596	-5091.435804
597	-5091.436776
598	-5091.438057
599	-5091.439062
600	-5091.442422
601	-5091.444806
602	-5091.445809
603	-5091.449213
604	-5091.450476
605	-5091.453035
606	-5091.457313
607	-5091.460028
608	-5091.462327
609	-5091.467159
610	-5091.4686
611	-5091.470845
612	-5091.473189
613	-5091.475227
614	-5091.477213
615	-5091.478681
616	-5091.48223
617	-5091.484856
618	-5091.487372
619	-5091.489432
620	-5091.49211
621	-5091.493354
622	-5091.495442
623	-5091.496493
624	-5091.498771
625	-5091.501402
626	-5091.502649
627	-5091.503705
628	-5091.506692
629	-5091.508005
630	-5091.509811
631	-5091.513379
632	-5091.514902
633	-5091.517231
634	-5091.520545
635	-5091.521939
636	-5091.523865
637	-5091.525526
638	-5091.527843
639	-5091.529581
640	-5091.533308
641	-5091.535592
642	-5091.536556
643	-5091.539423
644	-5091.541486
645	-5091.542899
646	-5091.544306
647	-5091.547766
648	-5091.548859
649	-5091.55072
650	-5091.554665
651	-5091.555083
652	-5091.556869
653	-5091.557658
654	-5091.55903
655	-5091.561246
656	-5091.562536
657	-5091.563865
658	-5091.565126
659	-5091.56748
660	-5091.569092
661	-5091.570919
662	-5091.572147
663	-5091.575473
664	-5091.57673
665	-5091.578819
666	-5091.579636
667	-5091.581836
668	-5091.583072
669	-5091.58519
670	-5091.588086
671	-5091.589949
672	-5091.591028
673	-5091.592383
674	-5091.593563
675	-5091.595932
676	-5091.597811
677	-5091.598614
678	-5091.602764
679	-5091.603707
680	-5091.604777
681	-5091.606964
682	-5091.608906
683	-5091.609801
684	-5091.611288
685	-5091.613256
686	-5091.614616
687	-5091.616227
688	-5091.617098
689	-5091.61995
690	-5091.620998
691	-5091.621867
692	-5091.624358
693	-5091.627206
694	-5091.628686
695	-5091.63125
696	-5091.632084
697	-5091.634979
698	-5091.637581
699	-5091.639166
700	-5091.641828
701	-5091.642733
702	-5091.643495
703	-5091.644826
704	-5091.646173
705	-5091.648547
706	-5091.650088
707	-5091.651093
708	-5091.652674
709	-5091.655363
710	-5091.656215
711	-5091.657998
712	-5091.659283
713	-5091.661407
714	-5091.662213
715	-5091.665567
716	-5091.667832
717	-5091.669602
718	-5091.670669
719	-5091.672316
720	-5091.6731
721	-5091.674698
722	-5091.677713
723	-5091.679584
724	-5091.680628
725	-5091.682748
726	-5091.685721
727	-5091.68665
728	-5091.687709
729	-5091.689809
730	-5091.690443
731	-5091.691536
732	-5091.692237
733	-5091.694712
734	-5091.69791
735	-5091.698826
736	-5091.701001
737	-5091.702549
738	-5091.704472
739	-5091.707501
740	-5091.708469
741	-5091.70945
742	-5091.712289
743	-5091.713104
744	-5091.715257
745	-5091.717804
746	-5091.718366
747	-5091.720664
748	-5091.722613
749	-5091.723821
750	-5091.724505
751	-5091.725921
752	-5091.726575
753	-5091.728615
754	-5091.729668
755	-5091.731224
756	-5091.732586
757	-5091.733764
758	-5091.736219
759	-5091.737444
760	-5091.738039
761	-5091.739782
762	-5091.742244
763	-5091.743001
764	-5091.745331
765	-5091.746727
766	-5091.748903
767	-5091.751129
768	-5091.752318
769	-5091.754546
770	-5091.755549
771	-5091.758087
772	-5091.760601
773	-5091.761218
774	-5091.763101
775	-5091.76482
776	-5091.766232
777	-5091.76703
778	-5091.768201
779	-5091.770722
780	-5091.772661
781	-5091.77364
782	-5091.775789
783	-5091.776503
784	-5091.777813
785	-5091.778796
786	-5091.779808
787	-5091.780659
788	-5091.781444
789	-5091.784077
790	-5091.784674
791	-5091.785214
792	-5091.785948
793	-5091.787073
794	-5091.788958
795	-5091.789874
796	-5091.791035
797	-5091.792154
798	-5091.793435
799	-5091.79577
800	-5091.796344
801	-5091.797188
802	-5091.798457
803	-5091.799388
804	-5091.801602
805	-5091.803004
806	-5091.803825
807	-5091.804408
808	-5091.80644
809	-5091.808388
810	-5091.809555
811	-5091.811701
812	-5091.81264
813	-5091.813228
814	-5091.815032
815	-5091.816494
816	-5091.818416
817	-5091.819189
818	-5091.820115
819	-5091.822395
820	-5091.823679
821	-5091.824258
822	-5091.824986
823	-5091.825243
824	-5091.826557
825	-5091.827462
826	-5091.828269
827	-5091.829368
828	-5091.830643
829	-5091.832806
830	-5091.83431
831	-5091.834944
832	-5091.835455
833	-5091.836947
834	-5091.838574
835	-5091.839167
836	-5091.840832
837	-5091.842568
838	-5091.843546
839	-5091.845268
840	-5091.846878
841	-5091.848421
842	-5091.849941
843	-5091.850521
844	-5091.851776
845	-5091.852241
846	-5091.852544
847	-5091.85378
848	-5091.855984
849	-5091.859399
850	-5091.859903
851	-5091.86061
852	-5091.863862
853	-5091.865297
854	-5091.865933
855	-5091.868097
856	-5091.869843
857	-5091.87036
858	-5091.871272
859	-5091.87201
860	-5091.873962
861	-5091.874261
862	-5091.875989
863	-5091.878395
864	-5091.879811
865	-5091.881079
866	-5091.882302
867	-5091.883957
868	-5091.885444
869	-5091.88692
870	-5091.887653
871	-5091.888058
872	-5091.889791
873	-5091.890314
874	-5091.890778
875	-5091.892263
876	-5091.893221
877	-5091.893856
878	-5091.896881
879	-5091.897978
880	-5091.898462
881	-5091.899292
882	-5091.900751
883	-5091.901865
884	-5091.902523
885	-5091.903728
886	-5091.905564
887	-5091.907199
888	-5091.907824
889	-5091.908694
890	-5091.909354
891	-5091.910381
892	-5091.911492
893	-5091.912692
894	-5091.913452
895	-5091.915204
896	-5091.916384
897	-5091.918008
898	-5091.919084
899	-5091.921894
900	-5091.923575
901	-5091.924056
902	-5091.924453
903	-5091.925669
904	-5091.927374
905	-5091.930237
906	-5091.931515
907	-5091.932609
908	-5091.933888
909	-5091.934973
910	-5091.935631
911	-5091.936582
912	-5091.937371
913	-5091.939348
914	-5091.940154
915	-5091.941432
916	-5091.943202
917	-5091.945201
918	-5091.946241
919	-5091.947524
920	-5091.94879
921	-5091.950188
922	-5091.950556
923	-5091.952137
924	-5091.95251
925	-5091.953396
926	-5091.954434
927	-5091.955781
928	-5091.957029
929	-5091.957663
930	-5091.957893
931	-5091.958903
932	-5091.959232
933	-5091.960216
934	-5091.960733
935	-5091.961519
936	-5091.96208
937	-5091.962343
938	-5091.963892
939	-5091.964977
940	-5091.96645
941	-5091.9679
942	-5091.969246
943	-5091.971232
944	-5091.972909
945	-5091.974257
946	-5091.975243
947	-5091.97613
948	-5091.977435
949	-5091.977987
950	-5091.978825
951	-5091.979668
952	-5091.980437
953	-5091.981214
954	-5091.982173
955	-5091.983251
956	-5091.985615
957	-5091.986612
958	-5091.987488
959	-5091.988662
960	-5091.989929
961	-5091.990647
962	-5091.991441
963	-5091.99187
964	-5091.993735
965	-5091.994901
966	-5091.996276
967	-5091.997373
968	-5091.998433
969	-5091.999062
970	-5091.999877
971	-5092.001329
972	-5092.002167
973	-5092.003277
974	-5092.003786
975	-5092.004367
976	-5092.004843
977	-5092.00721
978	-5092.009072
979	-5092.009341
980	-5092.010488
981	-5092.011305
982	-5092.011548
983	-5092.012077
984	-5092.013124
985	-5092.013816
986	-5092.01399
987	-5092.015152
988	-5092.016234
989	-5092.016655
990	-5092.017428
991	-5092.020705
992	-5092.021994
993	-5092.023309
994	-5092.026244
995	-5092.027174
996	-5092.029319
997	-5092.030416
998	-5092.031965
999	-5092.03303
